Frequency,CHD,BHC,YTA,ZHY,LZH,Vel_AVG,Frequency,CHD,BHC,YTA,ZHY,LZH,Dis_AVG,Frequency,CHD,BHC,YTA,ZHY,LZH,Acc_AVG
4.10156,76.4798,287.917,14.8727,30.904,31.3485,31.3485,4.10156,2.96768,11.1722,0.577113,1.19918,1.21643,1.21643,4.10156,1970.95,7419.86,383.283,796.424,807.879,807.879
4.19922,176.2,285.545,104.272,101.372,81.6159,104.272,4.19922,6.67819,10.8225,3.95201,3.8421,3.09333,3.95201,4.19922,4648.95,7533.97,2751.15,2674.64,2153.39,2751.15
4.29688,136.823,155.891,222.515,14.4324,53.9786,136.823,4.29688,5.06788,5.77417,8.24188,0.534573,1.99935,5.06788,4.29688,3693.96,4208.77,6007.47,389.648,1457.32,3693.96
4.39453,143.288,253.873,266.353,115.476,133.319,143.288,4.39453,5.1894,9.19443,9.64639,4.18216,4.82836,5.1894,4.39453,3956.42,7009.87,7354.44,3188.49,3681.16,3956.42
4.49219,153.921,295.89,34.541,79.1815,108.572,108.572,4.49219,5.45331,10.4832,1.22376,2.80534,3.84663,3.84663,4.49219,4344.46,8351.57,974.929,2234.92,3064.47,3064.47
4.58984,31.4848,233.313,173.616,41.6674,102.141,102.141,4.58984,1.09175,8.09024,6.02021,1.44484,3.54178,3.54178,4.58984,907.984,6728.48,5006.88,1201.64,2945.62,2945.62
4.6875,68.1285,280.513,547.336,11.7137,121.906,121.906,4.6875,2.31317,9.52428,18.5837,0.397717,4.13908,4.13908,4.6875,2006.55,8261.8,16120.4,344.998,3590.43,3590.43
4.78516,120.369,203.342,200.943,98.3374,22.838,120.369,4.78516,4.00349,6.76318,6.68339,3.27071,0.759594,4.00349,4.78516,3619.02,6113.68,6041.56,2956.61,686.647,3619.02
4.88281,62.0331,27.7028,184.782,92.5872,129.364,92.5872,4.88281,2.02196,0.90297,6.02297,3.01787,4.2166,3.01787,4.88281,1903.15,849.91,5669.05,2840.54,3968.82,2840.54
4.98047,149.22,146.32,256.831,114.813,55.3446,146.32,4.98047,4.76846,4.67578,8.20724,3.66893,1.76858,4.67578,4.98047,4669.59,4578.82,8037.06,3592.86,1731.91,4578.82
5.07813,122.119,155.182,247.411,165.963,83.2462,155.182,5.07813,3.82735,4.8636,7.75418,5.20149,2.60904,4.8636,5.07813,3896.41,4951.36,7894.1,5295.35,2656.12,4951.36
5.17578,17.4182,60.6823,368.31,187.685,108.773,108.773,5.17578,0.535608,1.86598,11.3255,5.7713,3.34476,3.34476,5.17578,566.446,1973.41,11977.6,6103.59,3537.33,3537.33
5.27344,103.828,43.8889,317.941,213.269,202.025,202.025,5.27344,3.13359,1.32459,9.59563,6.43656,6.09721,6.09721,5.27344,3440.24,1454.21,10534.7,7066.45,6693.89,6693.89
5.37109,59.1861,169.882,48.6656,243.13,118.946,118.946,5.37109,1.75379,5.03389,1.44205,7.20437,3.52457,3.52457,5.37109,1997.39,5733.09,1642.35,8205.05,4014.13,4014.13
5.46875,153.337,286.839,380.383,191.611,176.275,191.611,5.46875,4.46251,8.34777,11.0701,5.57639,5.13007,5.57639,5.46875,5268.84,9856.12,13070.4,6583.98,6057.03,6583.98
5.56641,199.262,200.12,332.915,154.388,277.064,200.12,5.56641,5.6973,5.72185,9.51872,4.41427,7.92183,5.72185,5.56641,6969.14,6999.16,11643.6,5399.69,9690.26,6999.16
5.66406,104.223,142.8,310.051,205.056,91.5253,142.8,5.66406,2.92857,4.01254,8.71214,5.76188,2.57178,4.01254,5.66406,3709.13,5082,11034.2,7297.6,3257.23,5082
5.76172,152.078,149.435,128.46,133.574,126.996,133.574,5.76172,4.20083,4.12782,3.54842,3.6897,3.50799,3.6897,5.76172,5505.53,5409.85,4650.49,4835.65,4597.51,4835.65
